Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
your,0.283750,297.558834,1737.759383,3697.183091,4000.238057
your,0.290000,285.409496,2363.480937,3869.483393,4298.911671
your,0.296250,264.970143,2376.047852,3844.662280,4276.678136
your,0.302500,250.973256,2525.383785,3837.963092,4359.642012
your,0.308750,252.936050,2666.977285,3840.705376,4403.373042
your,0.315000,261.102961,2627.264941,3833.664332,4390.821916
your,0.321250,277.776337,2446.103986,3799.244461,4425.197389
your,0.327500,288.447725,2344.613644,3823.748358,4443.098300
your,0.333750,305.074049,1436.287768,2339.143170,3838.982077
your,0.340000,356.990454,1577.496919,2325.821459,3845.077049
your,0.346250,415.160853,1700.300144,2294.358407,3854.025099
your,0.352500,454.676684,1745.571576,2302.595338,3870.044025
your,0.358750,474.264803,1780.449929,2257.709822,3922.769218
your,0.365000,478.980089,1724.543406,2279.831259,3992.551083
your,0.371250,475.741975,1571.225211,2278.282371,3983.361664
your,0.377500,484.297497,1381.485867,2269.364857,3963.519702
your,0.383750,506.335728,1294.533130,2241.260471,3899.447823
your,0.390000,537.363422,1246.890164,2233.778512,4016.207513
your,0.396250,580.965330,1191.932825,2197.981314,4008.454976
your,0.402500,610.281946,1201.356347,2157.148594,4044.797600
your,0.408750,626.970386,1209.754183,2002.293106,3991.889311
your,0.415000,632.775356,1224.182556,1978.228195,3941.424390
your,0.421250,632.640191,1211.374313,1904.530326,3950.817220
your,0.427500,618.772152,1212.365555,1892.632208,3934.475929
your,0.433750,622.335709,1220.551442,1880.783649,3949.851164
your,0.440000,627.784533,1211.224021,1847.155509,3946.493670
your,0.446250,632.331724,1209.519566,1810.433890,3942.177158
your,0.452500,619.491011,1238.070107,1843.443368,3981.958008
your,0.458750,603.061638,1256.393177,1800.117089,3936.968788
your,0.465000,604.911493,1280.183091,1798.781321,4046.639006
your,0.471250,569.724381,1361.570022,1825.290128,4112.938140
your,0.477500,564.096772,1349.117011,1777.012498,4123.491867
your,0.483750,500.560323,1276.504955,1872.247321,3957.668829
your,0.490000,470.324959,1317.978369,1866.470244,4089.982693
your,0.496250,447.834420,1323.119385,1883.409205,3995.079791
your,0.502500,426.033528,1432.210389,1895.451719,3991.878077
your,0.508750,406.597848,1559.571941,1977.703773,4007.173640
your,0.515000,385.214451,1604.109748,2078.057529,3993.495809
your,0.521250,330.463590,1574.048036,2149.333338,3951.341719
your,0.527500,299.044371,1411.875096,2221.943097,3965.825724
your,0.533750,293.706782,1291.617526,2252.734164,3997.183157
your,0.540000,268.718814,1319.112103,2260.407877,3949.179850
your,0.546250,295.310914,1320.899021,2124.680229,3900.557436
your,0.552500,411.679890,1611.780741,2172.321916,3858.889930
your,0.558750,575.923289,1600.039890,2312.058865,4107.567234
your,0.565000,582.436578,1580.832758,2281.294063,4017.850009
good,0.571250,516.716174,1566.667404,2413.039259,3897.628778
good,0.577500,478.600289,1567.032964,2663.242221,4118.757004
good,0.583750,602.331727,2032.282130,2671.176224,3964.813609
good,0.590000,749.112355,2014.097827,2692.835372,3953.925162
good,0.596250,670.799003,1915.983272,2686.795455,3975.242556
good,0.602500,369.854692,2062.555861,2688.459224,3980.751044
good,0.608750,363.262618,2260.629389,2718.334517,3965.887421
good,0.615000,412.538485,2208.065617,2681.302598,3964.906953
good,0.621250,446.912424,2221.416532,2713.751497,3986.205485
good,0.627500,469.008294,2244.506105,2782.299991,4008.681267
good,0.633750,485.043510,2246.185610,2743.554655,4044.528619
good,0.640000,495.429215,2241.258913,2723.921904,3886.523358
good,0.646250,502.436049,2209.237034,2661.146275,3994.353095
good,0.652500,507.581466,2117.385711,2517.132553,3946.500866
good,0.658750,511.099183,2032.088840,2502.366120,3789.928026
good,0.665000,514.312780,2068.991242,2642.195637,3956.415195
good,0.671250,517.203140,2024.855371,2649.787053,3933.642301
good,0.677500,521.364783,1950.287198,2696.989701,4060.971693
good,0.683750,526.959236,1947.952628,2748.561067,4020.827238
good,0.690000,533.336167,1920.381474,2879.248649,4077.668087
good,0.696250,538.101921,1938.840746,2937.023672,3523.154366
good,0.702500,536.267486,1891.454261,3043.691674,3886.468056
good,0.708750,526.380535,1855.775600,3124.872121,3816.676483
good,0.715000,514.279913,2069.311170,3168.781420,4353.566667
good,0.721250,478.524370,2164.366543,3108.505451,4365.239181
good,0.727500,451.171005,1904.603648,2969.438922,4442.137048
good,0.733750,481.004682,2222.895034,3016.295207,4320.758330
good,0.740000,497.544937,2232.349800,3107.360791,4376.498693
good,0.746250,497.621067,2181.985190,3026.491110,4397.572147
good,0.752500,515.992461,2061.012624,2928.222004,4355.747751
good,0.758750,532.885488,2132.786132,2924.822901,4428.606193
good,0.765000,533.832571,2173.364572,2815.040007,4409.054605
good,0.771250,530.168265,2125.981516,2865.892885,4358.953644
good,0.777500,518.063489,2121.349773,3100.199317,4336.870990
good,0.783750,520.185417,2178.038840,3103.685905,4221.873602
good,0.790000,531.329310,2159.978754,3106.088098,4258.584651
good,0.796250,531.096548,2059.924019,3178.123614,4267.209349
good,0.802500,522.482212,2070.063606,3160.581124,4344.742430
good,0.808750,536.101714,2132.993035,3229.491103,4361.714783
good,0.815000,535.825242,2194.554038,3257.523131,4321.927692
good,0.821250,533.950189,2071.811414,3005.970715,4311.526116
pants,0.827500,531.405308,2217.777485,3200.711950,4272.736174
pants,0.833750,533.089334,2227.008000,3207.768139,4257.549241
pants,0.840000,522.100202,2223.637438,3122.900810,4278.944247
pants,0.846250,519.808942,2188.755687,3177.072680,4254.420989
pants,0.852500,533.610625,2237.458962,2965.706191,4160.071641
pants,0.858750,578.079624,2026.807459,2596.778121,4044.697704
pants,0.865000,636.488113,1999.775070,2616.670940,3987.909100
pants,0.871250,664.590116,2012.145961,2635.447041,3963.054510
pants,0.877500,660.216023,1996.570890,2662.163758,3795.173210
pants,0.883750,452.620625,1921.654631,2956.206357,3529.836618
pants,0.890000,382.309473,1833.771109,3018.285421,3168.185115
pants,0.896250,348.150981,1859.146638,2500.699980,3107.314900
pants,0.902500,291.576331,1979.694706,2527.150118,3095.681434
pants,0.908750,282.798131,1979.425063,2849.106357,3148.105515
pants,0.915000,304.563424,2026.394194,2964.973158,3099.042028
pants,0.921250,629.961224,1981.670493,3090.073733,4715.488988
pants,0.927500,739.699593,1968.039568,3055.169270,4676.666635
pants,0.933750,828.542938,2051.316250,3012.576315,4734.095904
pants,0.940000,849.357102,2061.864871,3003.529851,4705.059526
pants,0.946250,830.658455,2017.690742,3111.000968,4680.958118
pants,0.952500,823.004659,1978.776377,3024.734257,4530.797620
pants,0.958750,787.377655,1929.511747,3042.206131,4590.578139
pants,0.965000,727.056711,1885.748012,3091.465622,4612.713474
pants,0.971250,743.876759,1800.275091,3052.024998,4450.368877
pants,0.977500,732.779648,1773.845373,3047.049462,4505.279745
pants,0.983750,714.426341,1795.901872,3007.572939,4549.746796
pants,0.990000,671.469627,1827.618886,3029.525025,4591.821893
pants,0.996250,642.284213,1815.751349,3088.321691,4604.837414
pants,1.002500,644.453706,1810.424739,3061.169592,4580.139443
pants,1.008750,671.720399,1803.252561,3119.318694,4592.205984
pants,1.015000,663.291305,1803.751294,3163.741300,4556.013134
pants,1.021250,657.443658,1817.210395,3167.511334,4579.800278
pants,1.027500,569.729655,1828.043238,3140.383200,4683.264205
pants,1.033750,472.337661,1807.304092,3112.413443,4658.976014
pants,1.040000,458.199476,1753.392850,3103.385040,4651.853285
pants,1.046250,537.153084,1752.434344,3106.487434,4680.103824
pants,1.052500,552.840417,1764.085501,3104.406060,4673.671093
pants,1.058750,517.604539,1772.254900,3232.853386,4568.319280
pants,1.065000,482.938109,1789.591706,3493.313458,4258.127208
pants,1.071250,396.452039,1800.532420,3608.936071,4500.336297
pants,1.077500,266.059344,1862.920800,3794.701910,5175.771363
pants,1.083750,304.924884,1237.796258,2539.384474,3905.800540
pants,1.090000,327.078462,1471.902205,2451.156085,3946.245619
pants,1.096250,684.456644,2497.785631,3211.623471,4730.807931
pants,1.102500,668.007015,2389.322115,3598.748500,4808.606461
pants,1.108750,611.437903,2210.082648,3693.977720,4807.957780
pants,1.115000,588.405830,1820.632130,3369.774249,3944.678094
pants,1.121250,580.842234,2031.102203,3027.377243,3729.978205
pants,1.127500,597.329150,2234.304914,3446.035232,4011.742473
pants,1.133750,545.422451,2228.203580,3502.367760,4653.406515
pants,1.140000,418.612595,2120.190525,3293.453872,3986.388369
