Word,Time_s,Intensity_dB
your,0.282220,45.480870
your,0.287737,52.834302
your,0.293254,56.825278
your,0.298772,58.599174
your,0.304289,59.981674
your,0.309806,61.444574
your,0.315323,62.718743
your,0.320841,63.981737
your,0.326358,64.956908
your,0.331875,65.458818
your,0.337392,65.696716
your,0.342909,66.428974
your,0.348427,68.272178
your,0.353944,70.855080
your,0.359461,73.021603
your,0.364978,73.832313
your,0.370496,73.068357
your,0.376013,71.588339
your,0.381530,71.130679
your,0.387047,71.311490
your,0.392565,71.109033
your,0.398082,70.871901
your,0.403599,70.946517
your,0.409116,71.068788
your,0.414634,71.042668
your,0.420151,71.034449
your,0.425668,71.137105
your,0.431185,71.109739
your,0.436703,70.947224
your,0.442220,70.778343
your,0.447737,70.617139
your,0.453254,70.351159
your,0.458772,70.006683
your,0.464289,69.736910
your,0.469806,69.673440
your,0.475323,69.474333
your,0.480841,69.612277
your,0.486358,69.891469
your,0.491875,69.854165
your,0.497392,69.668188
your,0.502909,69.176668
your,0.508427,67.936115
your,0.513944,66.018363
your,0.519461,64.123348
your,0.524978,62.938669
your,0.530496,62.613546
your,0.536013,62.232665
your,0.541530,60.673956
your,0.547047,57.676655
your,0.552565,53.303511
your,0.558082,47.984322
your,0.563599,44.084296
your,0.569116,42.285810
good,0.574634,40.594440
good,0.580151,40.585716
good,0.585668,48.389059
good,0.591185,55.215838
good,0.596703,58.796235
good,0.602220,63.630921
good,0.607737,68.863119
good,0.613254,72.857164
good,0.618772,75.518723
good,0.624289,77.208977
good,0.629806,78.430453
good,0.635323,79.565472
good,0.640841,80.734375
good,0.646358,81.858451
good,0.651875,82.778956
good,0.657392,83.379980
good,0.662909,83.542154
good,0.668427,83.215247
good,0.673944,82.458484
good,0.679461,81.474278
good,0.684978,80.341463
good,0.690496,78.925555
good,0.696013,77.007191
good,0.701530,74.871324
good,0.707047,73.465374
good,0.712565,72.255724
good,0.718082,69.708017
good,0.723599,65.357606
good,0.729116,60.684013
good,0.734634,59.820850
good,0.740151,60.391977
good,0.745668,60.235255
good,0.751185,59.720561
good,0.756703,59.486857
good,0.762220,59.326236
good,0.767737,58.219958
good,0.773254,55.435752
good,0.778772,51.612615
good,0.784289,49.562860
good,0.789806,48.659336
good,0.795323,46.547270
good,0.800841,43.799877
good,0.806358,42.946143
good,0.811875,44.743090
good,0.817392,45.645101
good,0.822909,45.147152
pants,0.828427,43.496218
pants,0.833944,40.102155
pants,0.839461,36.854976
pants,0.844978,38.126692
pants,0.850496,39.976488
pants,0.856013,41.482734
pants,0.861530,44.017091
pants,0.867047,45.300330
pants,0.872565,45.004953
pants,0.878082,48.636277
pants,0.883599,57.608605
pants,0.889116,64.742808
pants,0.894634,69.512887
pants,0.900151,72.371060
pants,0.905668,73.924264
pants,0.911185,74.695166
pants,0.916703,75.140071
pants,0.922220,75.307149
pants,0.927737,75.032293
pants,0.933254,74.188323
pants,0.938772,72.875851
pants,0.944289,71.413927
pants,0.949806,70.292565
pants,0.955323,69.766870
pants,0.960841,69.532944
pants,0.966358,69.400061
pants,0.971875,69.313473
pants,0.977392,69.041201
pants,0.982909,68.651599
pants,0.988427,68.427356
pants,0.993944,68.392296
pants,0.999461,68.187989
pants,1.004978,67.575388
pants,1.010496,66.789746
pants,1.016013,66.156314
pants,1.021530,65.742924
pants,1.027047,65.441764
pants,1.032565,65.230016
pants,1.038082,65.106602
pants,1.043599,64.912394
pants,1.049116,64.550845
pants,1.054634,64.022448
pants,1.060151,63.353506
pants,1.065668,62.308232
pants,1.071185,60.700516
pants,1.076703,58.035444
pants,1.082220,53.394023
pants,1.087737,47.624037
pants,1.093254,44.203568
pants,1.098772,41.015983
pants,1.104289,38.897554
pants,1.109806,37.302544
pants,1.115323,35.065073
pants,1.120841,33.602498
pants,1.126358,32.010950
pants,1.131875,31.843719
pants,1.137392,32.773356
pants,1.142909,33.146979
pants,1.148427,33.066742
look,1.153944,32.367476
look,1.159461,31.090140
look,1.164978,29.846725
look,1.170496,28.469777
look,1.176013,26.982563
look,1.181530,27.691131
look,1.187047,31.528737
look,1.192565,35.383591
look,1.198082,39.155731
look,1.203599,42.515892
look,1.209116,45.452550
look,1.214634,49.883137
look,1.220151,54.477001
look,1.225668,58.219355
look,1.231185,61.457865
look,1.236703,64.268965
look,1.242220,66.538859
look,1.247737,68.498122
look,1.253254,70.364158
